Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.70oz / 360g,,,,0889842196771,,,,GT62VR 7RE-232NL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6 lb (1.2 kg),,,,4712900416954,,,,TZ6-00014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 lbs,,,,0883585533695,,,,B-FTP620B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,,,,4948382543349,,,,NX.GE5EH.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61 lb/3.00 kg (approximate),,,,4712389910530,,,,NX.GKYEH.007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61oz / 196g,,,,5412810039241,,,,517411-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23 lbs,,,,4719072469986,,,,ERC38BR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2oz / 686g,,,,4045348977443,,,,IB3015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19lb/1.90kg (Starting weight),,,,4719072469818,,,,NX.G31EH.003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60 oz / 102 g,,,,8718722432338,,,,NX.G31EH.003RET,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50kg,,,,8809213763724,,,,AL-9E2000SC-02I-DM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74 oz / 191 g,,,,5024866363890,,,,W3C32EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36 oz / 67 g,,,,4711173873150,,,,FB2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 kg,,,,0190404527125,,,,UTP-0008-1RE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92oz / 338g,,,,4040895883445,,,,TS1GDOM44H-S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.41oz / 401g,,,,4712900282047,,,,RL8002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64 lb/2.56 kg,,,,8713439208177,,,,RL5304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40 lb (0.18 kg),,,,0883585065851,,,,DT.B88EH.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2 lbs/6.0 kg,,,,0883585065912,,,,30023616,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3 lbs.,,,,4054317505549,,,,430023616,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45 oz,,,,5051964042921,,,,MD61666,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 grams,,,,0814914021446,,,,qM-HDTH-APP-IPAD10.5-2017-BLK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62lbs,,,,0886112172114,,,,470065-393,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4lbs,,,,4047999361343,,,,G04926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33oz / 66 g,,,,8718722157866,,,,Aspire Switch 11 SW5-171-36SV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626g,,,,8716065274547,,,,NT.L69EH.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.51lbs,,,,6935364096519,,,,CSE-113TQ-600UB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06 kg,,,,5055288428270,,,,80T7000TGE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05 oz / 58 g,,,,0814914021439,,,,80XM004JMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39Kg,,,,5704327456407,,,,MK32GX4M4B3600C18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730g,,,,0885370440843,,,,THNV16DAIBLU(6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 lbs,,,,0112040007311,,,,qM-RHC-APP-IPAD9.7-2017-BLK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53 oz / 15 g,,,,0763649021682,,,,IM5903,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aer RGB140: 213g,,,,5051964647942,,,,MMH0020/1024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48 kg,,,,5704327741978,,,,MMG2349/1GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.93oz / 310g,,,,7636490020230,,,,006R90295,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9 lbs/1.3 kg (Configured with 1 hard drive. Exact weight depends on configuration.),,,,8032976055403,,,,MMG2002/8G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71oz / 20g,,,,0888772119041,,,,MGEQ2D/A-032554,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.46 lbs,,,,4002888456241,,,,NIL0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08oz / 59g,,,,8716065276503,,,,80S2000QMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76lb/1.25kg,,,,4902030788476,,,,IB3607,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.19oz / 374g,,,,0889296392927,,,,930-29-503-102,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9 lbs,,,,4719543186060,,,,DTH-W1310T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified by the manufacturer,,,,4024035221458,,,,THZ33402EU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165lbs,,,,4545350047368,,,,qM-DUC-2.1-BB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6kg,,,,4713157730879,,,,SSR-1000TD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5 lb (5.2kg),,,,3126170127815,,,,BX80621E54650,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91 oz / 196 g,,,,4054842415047,,,,DT.VN5EH.006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62oz / 301g,,,,5099206047150,,,,RL5103,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28oz / 93g,,,,5099206047204,,,,UTP601G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.03oz / 511g,,,,5099206047211,,,,PP6A-LSZHCU-0.5M,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85kg,,,,5055288422957,,,,LKW-LPW19-35-600W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830g,,,,4250234588843,,,,1099235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89 oz / 167 g,,,,0757120825005,,,,3CR17660-91-ME,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03oz / 171g,,,,4051528321708,,,,NX.GCEEH.050,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81 oz / 278 g,,,,0230494843528,,,,IS-FL-DAP3-B-32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.13oz / 514g,,,,0740617128598,,,,ISG-FL-DAP3-B-32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72oz / 389g,,,,5051964267133,,,,PA3918U-1M2G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08 oz / 314 g,,,,7406171285988,,,,PS562E-07U01MDU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7 oz / 105 g,,,,0619659049034,,,,PV432G300C6QK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31oz / 37g,,,,0711421878276,,,,IPAD-FTD-A02A002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2821g,,,,0190017002590,,,,INFD8GBKEY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 lb (1.36 kg),,,,0895562002483,,,,CSE-216BE1C-R741JBOD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08Kg,,,,5054484368687,,,,RP-HS34ME-K,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.08 lbs,,,,5054533368682,,,,724567-L21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50 oz / 347 g,,,,5060301692323,,,,RL1710,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33oz / 378g,,,,4719512042267,,,,IK5602,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2 lbs,,,,5397063736638,,,,SYS-6015B-UB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3 lbs,,,,8718226224521,,,,K2Q81A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 oz / 98 g,,,,0848354007920,,,,PFLEXP-34-G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 oz / 14 g,,,,0191927285851,,,,FIB222002-4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21g,,,,5704327054870,,,,HDM19193FS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4 lbs,,,,8016361823464,,,,JG745A#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40 oz / 68 g,,,,4051528232035,,,,443812-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625g,,,,4054842486078,,,,CSE-825TQ-R720LPB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4 lb / 1.5 kg,,,,0889894677785,,,,MTFDDAK240MBP-1AN16ABYY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12 oz (37.75 g),,,,0190940583876,,,,RL6303,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.97 lbs,,,,4015867221280,,,,80SR00HHMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53oz / 412g,,,,0885370249187,,,,TT-IPRO-09,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49 oz / 354 g,,,,8853702491872,,,,DK-1511-030/R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536401514305,,,,90NB0CJ1-M06070,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850 g,,,,8715946536668,,,,BX310UA-FC401R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52oz / 128g,,,,0760557799771,,,,30B3005CMB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46 oz / 410 g,,,,7605577997710,,,,DPS-800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.87 oz,,,,0760557780441,,,,DWL-3200AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,,,,0088020584083,,,,DWL-3200AP/E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6 oz / 102 g,,,,0649528742322,,,,BLE4C8G4D32BEEAK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8 lbs/7.2 kg,,,,5052217061898,,,,ES84530-10M-WHITE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37 oz,,,,5711045761690,,,,80M100SPMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,6495287423224,,,,BFF-SCF-12025WW-RP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39 oz,,,,4002888477451,,,,413292-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14g / 0.49oz,,,,4713883340816,,,,5047-AW07Y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g/ 3.53 oz,,,,4020636132735,,,,W2000/4TBNLSA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68oz / 473g,,,,0843591008976,,,,5830-5585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688g,,,,4713392974915,,,,MMH0033/1024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26 lbs,,,,0763649081143,,,,M-LC-LM13-100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 lbs,,,,6438158700833,,,,AK-340301-010-S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50 lb / 0.23 kg,,,,6438158700840,,,,996995F,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77kg/1.70lbs.,,,,6438158701274,,,,PX05SVB048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92lb/2.23kg,,,,4712900300819,,,,4XG0F28859,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.04 oz / 710 g,,,,4719072447540,,,,JL024A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2g,,,,8719299003587,,,,MMG1317/2GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365g / 12.88oz,,,,4054318778348,,,,43R1980,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44oz / 381g,,,,5711045965746,,,,UTP6A07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4g / 0.05 oz,,,,5051794009996,,,,FQC-08294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42 oz / 97 g,,,,0190780711231,,,,S14A-000-10816,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186 g/6.56 oz 7. Power: 2.2W ± 5%,,,,0888793742310,,,,T4H47EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3oz,,,,0889296033301,,,,IB7715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.02lbs,,,,0889296786627,,,,MT1091V,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.56oz / 668g,,,,4712900243079,,,,MMG2439/4GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6 lbs / 2.1 kg,,,,8055742120266,,,,E652BK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53oz / 100g,,,,4710614531130,,,,MMI1215/4GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4 oz (408.2 g),,,,5055712350023,,,,ST240FP0021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9 lb/1.32 kg,,,,6123761575342,,,,DK-1531-010,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23Kg,,,,4051528207989,,,,C108X3-2SDN-P6DNX,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06oz / 30g,,,,4014619516780,,,,55PUS8602/12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4 lbs,,,,8719675006409,,,,500515-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448g,,,,0650590186020,,,,EN-9130TXL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.92 oz,,,,5711045646126,,,,UG-3350,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35 lbs,,,,5397063918003,,,,P7T03EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 lbs,,,,4711173871118,,,,P7T03EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2oz / 119g,,,,0649528768506,,,,662063-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107 g / 3.77 oz,,,,8592978059934,,,,SP004GBUF2U06V1B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63 oz / 358 g,,,,0757120832010,,,,MMG2262/2048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25 lbs/11.00 kg,,,,7571208320106,,,,80MR0008MH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,8718734650393,,,,CT25664BA160BJ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00 g,,,,7640113240103,,,,UM.QB6EE.010,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3 lbs,,,,0190780984499,,,,80SG000HMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09 oz / 116 g,,,,4712900369434,,,,IM8503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2 lb/2.36 kg,,,,4051528323894,,,,UTP502WAA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06 oz / 115 g,,,,0690590524859,,,,PT363E-05400EBT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13g / 0.46oz,,,,0690590524866,,,,IB3403,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1 lbs,,,,6905905248660,,,,AK3997,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 g / 1.02 oz,,,,6950290697845,,,,W3M13ET,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35 oz (10 g),,,,0672042010417,,,,W3M13ET#ABD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32 lb (0.6 kg),,,,4713392272943,,,,670537-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 lb / 660 g,,,,7322460066017,,,,STP60015PI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694g / 24.48oz,,,,5712505203187,,,,662072-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7oz / 190 g,,,,0886576007427,,,,632504R-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 oz / 45 g,,,,4712702626605,,,,AX4U240038G16-SBG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139g / 4.9oz,,,,8865760074270,,,,UCS-CPU-E52670DC=,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,0888182252130,,,,P1G85EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651 g / 22.96 oz,,,,0088698614013,,,,P1G85EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64 lbs/1.20 kg,,,,0211131845877,,,,NX.GD0EH.027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 lb (6.80 kg),,,,0722868685525,,,,OP-HD3.0T/4K-3Y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10kg,,,,7228686855254,,,,12-1326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.26oz / 375.9g,,,,0886112778293,,,,90-MXGU30-A0UAYZ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405 g,,,,0886112778316,,,,Fatal1ty Z97X Killer,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30g / 1.06oz,,,,7331990041937,,,,Z97X KILLER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1 oz / 116.2 g,,,,0722868428443,,,,USM64SA1B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02oz / 284g,,,,4054317969075,,,,90NB0781-M00760,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370g,,,,5051964485292,,,,N551JQ-CN070H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420 g,,,,5054629536056,,,,S14A-000-00510,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65 lbs/1.20 kg (Tablet & Keyboard) 1.87 lbs/.85 kg (Tablet only),,,,7228684284438,,,,UM-100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4Kg,,,,4053026636940,,,,452462-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified By Manufacturer,,,,5711045779008,,,,438092-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2oz / 369g,,,,3126170135193,,,,90NB0CJ1-M05180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33g (1.1oz),,,,8718722072626,,,,UX310UA-FC329T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10 oz / 88 g,,,,0814914023136,,,,A3L980B15MYL-HS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126 g,,,,4016032215226,,,,T9U34AA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 lb (0.23 kg),,,,8719675006669,,,,LJDS45-32GABEU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8 lbs,,,,0889296219224,,,,IS1510,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7 lbs/21.2 kg,,,,5055146597070,,,,FB6003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1 lb/498.9 g,,,,0884420451372,,,,US102,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,0190780541166,,,,21.99.8771,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52 oz / 270 g,,,,0190780872550,,,,DK-1644-A-050/R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52lb/1.60kg,,,,0889894130792,,,,qM-KPCCTC-APP-IPAIR2-BLU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029Kg,,,,5054629133781,,,,90NB0AY1-M01270,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119 g,,,,5711045370816,,,,N752VX-GC114T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75 oz,,,,0722868775424,,,,N4800ECO/8TBNLWD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22 kg,,,,5711045790997,,,,10F3000CMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 oz / 2.2 g,,,,5712505114803,,,,AK4982,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82 oz / 335 g,,,,8716065205893,,,,WS-30-02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16oz / 288g,,,,0889296631033,,,,RL6302,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45oz / 409.6g,,,,3536401514787,,,,P-B-10400-12-K02-RB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72kg,,,,3536401515739,,,,RL9002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4 lbs,,,,0886576008202,,,,21.99.1459,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 oz (45.35 g),,,,4712702627725,,,,AF-1238B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138g/ 4.87 oz,,,,8865760082022,,,,RL5403,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1 oz (230.0 g),,,,4712900262452,,,,BL531A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37 lbs,,,,4713883368902,,,,IB7100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69 oz / 48 g,,,,8716065313949,,,,J9449A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86 lb/1.30 kg,,,,0760557803966,,,,J9449A#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 oz,,,,4015867107249,,,,X9W67EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53 lb/2.05 kg,,,,0191376896875,,,,BP5K00EA07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93 lb/1.78 kg,,,,5056006116356,,,,N8810U-G/24TB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5 oz / 467.0 g,,,,8718226225092,,,,X1B84AA#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 oz (538.6 g) Keyboard only: 11.5 oz (326.0 g) Folio only: 7.5 oz (212.6 g),,,,0882658403132,,,,SDCA10/16GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2 lb (6.0 kg),,,,5053866450224,,,,AB3985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93Kg,,,,4713392420900,,,,MMI9904/8GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238 g / 8.4 oz,,,,0889955757371,,,,S14A-000-26614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39 oz / 11 g,,,,0790069375095,,,,SLSATAF36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02 lb / 5kg,,,,0790069376566,,,,IB-168SK-B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359g / 12.66oz,,,,4719692002402,,,,95-794-NB3004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 lb (0.065 kg),,,,0650590168545,,,,MMH9722/4GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41 oz /210 g,,,,0650590169634,,,,UTP645BOOTED,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~3.0kg (w/battery),,,,3610480189583,,,,MMG1226/512,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45 oz,,,,5053973536316,,,,SLP-T403G/BEG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 lb (3.62 kg),,,,4002888354516,,,,F40R26X03010000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 oz / 283.5 g,,,,4712900377927,,,,920-002770,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47 oz / 155 g,,,,5056006110460,,,,BX80613I7990X,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,,,,8717534006386,,,,KN.8GB0B.002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25 lbs,,,,0092592048188,,,,MMG2419/4GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165 lbs,,,,8716065130744,,,,CSSD-F240GBLE200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.33 oz / 151 g,,,,4002888369220,,,,ASDX64GAUI3CL10-C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48g / 1.69oz,,,,4002888431897,,,,90NB0652-M40660,
